Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 7 FS/G,Last 14 FS/G,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
1,1,2026-07-11,Rafael Devers,SF,COL,COL @ SF,HOME,1B,11.8,12.39,89.2,81.8,81.8,79.9,79.9,71.2,71.2,67.6,67.6,61.9,61.9,56.9,56.9,54.0,54.0,294.79,A+,Forecast 11.8 FS | Sim 12.4,1,5.13,Regular,14,1.04,Kyle Freeland,L,7.46,1.61,0.3016,0.045,0.0476,5.46,1.52,0.2557,0.0347,Oracle Park,0.94,1.01,71.9,11.0,274.0,1.0,light wind,398,359,0.253,0.322,0.487,0.809,131,0.56,91,25,1,19,48,51,36,1,0,12.57,12.5,10.07,3.017,0.3103,0.1552,0.1207,0.1552,0.0,10.0,9.33,5.0,19.0,26.0,0.1905,0.0654,0.0043,0.0646,0.0672,0.0056,0.1495,0.1203,0.0075,Medium
2,2,2026-07-11,Ben Rice,NYY,WSH,NYY @ WSH,AWAY,1B,11.65,11.75,84.6,77.0,77.0,73.9,73.9,64.8,64.8,61.7,61.7,56.1,56.1,52.1,52.1,49.1,49.1,277.27,A+,Forecast 11.7 FS | Sim 11.8,2,5.02,Regular,13,1.04,Miles Mikolas,R,5.78,1.33,0.263,0.0521,0.0495,4.76,1.4,0.2294,0.0358,Nationals Park,1.0,1.03,85.7,4.7,355.0,14.0,warm,382,331,0.275,0.366,0.595,0.961,251,1.046,91,15,2,29,64,66,46,3,2,14.57,10.07,8.8,2.474,0.2105,0.1228,0.1228,0.1053,0.0,9.0,9.65,4.0,18.0,25.0,0.1485,0.0472,0.0047,0.078,0.0798,0.0071,0.1429,0.1592,0.0085,Medium
3,3,2026-07-11,Pete Crow-Armstrong,CHC,CIN,CHC @ CIN,AWAY,CF,10.96,10.65,85.0,78.7,78.7,74.1,74.1,65.1,65.1,61.4,61.4,54.6,54.6,49.8,49.8,45.7,45.7,276.98,A+,Forecast 11.0 FS | Sim 10.7,4,4.82,Regular,14,1.04,Nick Lodolo,L,4.68,1.46,0.2335,0.0311,0.0934,4.48,1.44,0.2124,0.0339,Great American Ball Park,1.08,1.01,72.9,9.7,48.0,33.0,humid,408,352,0.293,0.383,0.537,0.92,134,0.863,103,15,4,21,61,52,43,10,23,11.86,12.36,14.43,2.746,0.254,0.1111,0.0635,0.1746,0.0794,8.0,8.39,4.0,16.0,22.0,0.1601,0.0459,0.0063,0.0509,0.1233,0.021,0.1382,0.1469,0.0297,Medium
4,4,2026-07-11,Luis Arraez,SF,COL,COL @ SF,HOME,2B,11.18,11.54,91.9,83.1,83.1,82.3,82.3,73.5,73.5,68.7,68.7,64.2,64.2,56.5,56.5,53.6,53.6,273.38,A+,Forecast 11.2 FS | Sim 11.5,2,5.02,Regular,14,1.04,Kyle Freeland,L,7.46,1.61,0.3016,0.045,0.0476,5.46,1.52,0.2557,0.0347,Oracle Park,0.94,1.01,71.9,11.0,274.0,1.0,light wind,393,354,0.331,0.367,0.463,0.83,118,0.807,117,21,7,4,47,35,22,3,8,9.29,9.07,8.83,2.082,0.3443,0.1148,0.0164,0.0656,0.0328,10.0,8.04,5.0,16.0,23.0,0.2613,0.0712,0.012,0.0308,0.0481,0.0068,0.1361,0.1112,0.0156,High
5,5,2026-07-11,Kody Clemens,MIN,LAA,LAA @ MIN,HOME,1B,11.23,11.04,84.4,76.4,76.4,73.3,73.3,63.3,63.3,60.3,60.3,54.1,54.1,50.0,50.0,47.0,47.0,270.59,A+,Forecast 11.2 FS | Sim 11.0,4,4.73,Regular,14,1.04,Ryan Johnson,R,6.99,1.55,0.2595,0.0611,0.0763,4.65,1.4,0.2052,0.028,Target Field,0.98,1.03,88.8,5.0,188.0,1.0,warm,324,294,0.248,0.307,0.493,0.8,252,0.843,73,18,3,16,44,46,21,5,6,11.71,10.93,9.47,2.468,0.2419,0.129,0.0806,0.0645,0.0,9.0,9.05,4.0,17.0,23.0,0.149,0.0589,0.0069,0.0698,0.0772,0.012,0.1363,0.184,0.0119,Medium
6,6,2026-07-11,Josh Bell,MIN,LAA,LAA @ MIN,HOME,DH,11.23,11.36,86.0,78.7,78.7,76.2,76.2,66.9,66.9,64.0,64.0,57.5,57.5,52.6,52.6,48.9,48.9,270.31,A+,Forecast 11.2 FS | Sim 11.4,1,5.13,Regular,13,1.04,Ryan Johnson,R,6.99,1.55,0.2595,0.0611,0.0763,4.65,1.4,0.2052,0.028,Target Field,0.98,1.03,88.8,5.0,188.0,1.0,warm,367,336,0.25,0.308,0.432,0.74,248,0.76,84,20,1,13,48,60,27,2,1,10.14,9.36,9.47,2.259,0.2414,0.1724,0.069,0.069,0.0,9.0,8.95,5.0,17.0,24.0,0.1559,0.0638,0.0051,0.0596,0.0829,0.0085,0.137,0.1354,0.0079,Medium
7,7,2026-07-11,Matt Olson,ATL,STL,ATL @ STL,AWAY,1B,10.94,11.52,85.7,79.7,79.7,76.5,76.5,67.3,67.3,64.2,64.2,57.8,57.8,53.5,53.5,49.7,49.7,269.23,A+,Forecast 10.9 FS | Sim 11.5,1,5.13,Regular,14,1.04,Matthew Liberatore,L,5.34,1.53,0.2538,0.0436,0.0897,4.17,1.33,0.2238,0.0261,Busch Stadium,0.99,1.01,78.9,9.1,10.0,17.0,humid,407,362,0.268,0.342,0.541,0.883,176,0.847,97,24,0,25,64,58,40,2,2,10.43,9.64,8.33,2.177,0.2258,0.1613,0.0806,0.0968,0.0,9.0,9.02,5.0,17.0,24.0,0.1464,0.0604,0.0029,0.0608,0.0945,0.0102,0.1465,0.1081,0.0088,Medium
8,8,2026-07-11,Hunter Goodman,COL,SF,COL @ SF,AWAY,C,10.88,10.78,82.9,76.1,76.1,72.1,72.1,62.8,62.8,59.4,59.4,52.2,52.2,48.1,48.1,44.6,44.6,267.91,A+,Forecast 10.9 FS | Sim 10.8,2,5.02,Regular,13,1.04,Tyler Mahle,R,5.7,1.49,0.25,0.039,0.0942,4.53,1.38,0.2197,0.0268,Oracle Park,0.94,1.01,71.9,11.0,274.0,1.0,light wind,368,330,0.252,0.323,0.539,0.862,248,0.84,83,14,0,27,59,51,32,4,5,7.43,11.07,9.4,2.627,0.2542,0.1356,0.1017,0.1356,0.0,8.0,9.11,4.0,17.0,23.0,0.1437,0.0427,0.0027,0.065,0.1006,0.0119,0.1476,0.1387,0.0106,Medium
9,9,2026-07-11,Brooks Lee,MIN,LAA,LAA @ MIN,HOME,SS,10.83,10.91,86.7,78.3,78.3,75.5,75.5,66.1,66.1,62.4,62.4,56.2,56.2,50.6,50.6,47.1,47.1,258.54,A+,Forecast 10.8 FS | Sim 10.9,2,5.02,Regular,14,1.04,Ryan Johnson,R,6.99,1.55,0.2595,0.0611,0.0763,4.65,1.4,0.2052,0.028,Target Field,0.98,1.03,88.8,5.0,188.0,1.0,warm,366,336,0.253,0.31,0.435,0.745,255,0.793,85,15,2,14,44,51,26,2,5,6.86,8.36,7.97,1.918,0.2951,0.082,0.0164,0.0984,0.0328,9.0,8.58,5.0,16.0,23.0,0.1789,0.0544,0.0052,0.0534,0.0843,0.0081,0.1274,0.1328,0.0131,Medium
10,10,2026-07-11,TJ Rumfield,COL,SF,COL @ SF,AWAY,1B,10.17,10.48,87.5,80.3,80.3,76.8,76.8,67.4,67.4,62.9,62.9,55.9,55.9,49.9,49.9,45.3,45.3,251.56,A+,Forecast 10.2 FS | Sim 10.5,1,5.13,Regular,13,1.04,Tyler Mahle,R,5.7,1.49,0.25,0.039,0.0942,4.53,1.38,0.2197,0.0268,Oracle Park,0.94,1.01,71.9,11.0,274.0,1.0,light wind,376,329,0.301,0.383,0.483,0.866,263,0.943,99,20,2,12,42,47,38,7,0,6.14,7.14,9.53,1.754,0.3158,0.0702,0.0,0.1404,0.0,8.0,7.98,5.0,15.0,22.0,0.1881,0.0573,0.0045,0.0351,0.1109,0.0166,0.1225,0.1051,0.0072,Medium
